,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2008 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,"FREQUÊNCIA DE CONSUMO - Batata frita, batata de pacote e salgados fritos",,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,29,50%,11,19%,11,19%,2,3%,1,2%,0,-,1,2%,3,5%,58
CENTRO-OESTE,52,GO,57,39%,28,19%,22,15%,19,13%,5,3%,4,3%,2,1%,8,6%,145
CENTRO-OESTE,50,MS,136,48%,63,22%,37,13%,11,4%,5,2%,11,4%,3,1%,20,7%,286
CENTRO-OESTE,51,MT,252,45%,119,21%,69,12%,42,7%,22,4%,12,2%,11,2%,34,6%,561
TOTAL REGIÃO CENTRO-OESTE,,,474,45%,221,21%,139,13%,74,7%,33,3%,27,3%,17,2%,65,6%,1050
NORDESTE,27,AL,82,63%,15,12%,8,6%,5,4%,4,3%,3,2%,3,2%,10,8%,130
NORDESTE,29,BA,345,59%,123,21%,57,10%,29,5%,9,2%,5,1%,4,1%,13,2%,585
NORDESTE,23,CE,74,84%,7,8%,1,1%,1,1%,0,-,0,-,0,-,5,6%,88
NORDESTE,21,MA,44,75%,6,10%,8,14%,0,-,1,2%,0,-,0,-,0,-,59
NORDESTE,25,PB,235,56%,79,19%,51,12%,18,4%,16,4%,3,1%,3,1%,14,3%,419
NORDESTE,26,PE,19,44%,12,28%,2,5%,5,12%,1,2%,0,-,2,5%,2,5%,43
NORDESTE,22,PI,93,65%,23,16%,13,9%,6,4%,4,3%,0,-,2,1%,3,2%,144
NORDESTE,24,RN,83,59%,25,18%,12,9%,7,5%,1,1%,5,4%,1,1%,6,4%,140
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,975,61%,290,18%,152,9%,71,4%,36,2%,16,1%,15,1%,53,3%,1608
NORTE,12,AC,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
NORTE,13,AM,175,45%,79,20%,52,13%,24,6%,11,3%,14,4%,8,2%,28,7%,391
