,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2008 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,"FREQUÊNCIA DE CONSUMO - Bolachas/biscoitos doces ou recheados, doces, balas e chocolates",,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,10,17%,17,29%,5,9%,8,14%,3,5%,2,3%,0,-,13,22%,58
CENTRO-OESTE,52,GO,42,29%,20,14%,26,18%,21,14%,5,3%,4,3%,3,2%,24,17%,145
CENTRO-OESTE,50,MS,90,31%,68,24%,41,14%,14,5%,11,4%,6,2%,4,1%,52,18%,286
CENTRO-OESTE,51,MT,210,37%,93,17%,64,11%,54,10%,34,6%,10,2%,24,4%,72,13%,561
TOTAL REGIÃO CENTRO-OESTE,,,352,34%,198,19%,136,13%,97,9%,53,5%,22,2%,31,3%,161,15%,1050
NORDESTE,27,AL,52,40%,23,18%,15,12%,8,6%,7,5%,4,3%,2,2%,19,15%,130
NORDESTE,29,BA,262,45%,115,20%,66,11%,43,7%,24,4%,16,3%,15,3%,44,8%,585
NORDESTE,23,CE,29,33%,8,9%,11,13%,14,16%,5,6%,8,9%,1,1%,12,14%,88
NORDESTE,21,MA,23,39%,9,15%,7,12%,12,20%,4,7%,0,-,1,2%,3,5%,59
NORDESTE,25,PB,132,32%,62,15%,49,12%,40,10%,29,7%,12,3%,7,2%,88,21%,419
NORDESTE,26,PE,11,26%,2,5%,8,19%,6,14%,5,12%,2,5%,3,7%,6,14%,43
NORDESTE,22,PI,57,40%,26,18%,33,23%,11,8%,5,3%,1,1%,1,1%,10,7%,144
NORDESTE,24,RN,32,23%,22,16%,28,20%,10,7%,7,5%,9,6%,4,3%,28,20%,140
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,598,37%,267,17%,217,13%,144,9%,86,5%,52,3%,34,2%,210,13%,1608
NORTE,12,AC,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
NORTE,13,AM,146,37%,80,20%,50,13%,35,9%,26,7%,11,3%,10,3%,33,8%,391
