,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2008 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Bolachas/biscoitos salgados ou salgadinhos de pacote,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,13,22%,8,14%,10,17%,5,9%,4,7%,2,3%,1,2%,15,26%,58
CENTRO-OESTE,52,GO,48,33%,14,10%,27,19%,13,9%,15,10%,1,1%,6,4%,21,14%,145
CENTRO-OESTE,50,MS,80,28%,46,16%,46,16%,26,9%,19,7%,7,2%,4,1%,58,20%,286
CENTRO-OESTE,51,MT,164,29%,95,17%,74,13%,56,10%,26,5%,16,3%,18,3%,112,20%,561
TOTAL REGIÃO CENTRO-OESTE,,,305,29%,163,16%,157,15%,100,10%,64,6%,26,2%,29,3%,206,20%,1050
NORDESTE,27,AL,31,24%,14,11%,13,10%,11,8%,10,8%,6,5%,11,8%,34,26%,130
NORDESTE,29,BA,137,23%,96,16%,88,15%,74,13%,28,5%,18,3%,34,6%,110,19%,585
NORDESTE,23,CE,17,19%,6,7%,9,10%,12,14%,6,7%,10,11%,4,5%,24,27%,88
NORDESTE,21,MA,8,14%,6,10%,15,25%,9,15%,5,8%,2,3%,7,12%,7,12%,59
NORDESTE,25,PB,65,16%,36,9%,38,9%,44,11%,22,5%,27,6%,16,4%,171,41%,419
NORDESTE,26,PE,3,7%,7,16%,6,14%,6,14%,2,5%,2,5%,3,7%,14,33%,43
NORDESTE,22,PI,39,27%,19,13%,31,22%,17,12%,3,2%,5,3%,4,3%,26,18%,144
NORDESTE,24,RN,25,18%,20,14%,15,11%,10,7%,11,8%,14,10%,5,4%,40,29%,140
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,325,20%,204,13%,215,13%,183,11%,87,5%,84,5%,84,5%,426,26%,1608
NORTE,12,AC,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
NORTE,13,AM,81,21%,65,17%,90,23%,42,11%,27,7%,10,3%,12,3%,64,16%,391
