,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2008 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Hambúrguer e embutidos,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,23,40%,12,21%,13,22%,1,2%,1,2%,4,7%,1,2%,3,5%,58
CENTRO-OESTE,52,GO,64,44%,31,21%,23,16%,14,10%,4,3%,3,2%,2,1%,4,3%,145
CENTRO-OESTE,50,MS,148,52%,55,19%,45,16%,10,3%,6,2%,6,2%,7,2%,9,3%,286
CENTRO-OESTE,51,MT,259,46%,120,21%,76,14%,36,6%,11,2%,16,3%,13,2%,30,5%,561
TOTAL REGIÃO CENTRO-OESTE,,,494,47%,218,21%,157,15%,61,6%,22,2%,29,3%,23,2%,46,4%,1050
NORDESTE,27,AL,56,43%,16,12%,14,11%,17,13%,5,4%,7,5%,4,3%,11,8%,130
NORDESTE,29,BA,346,59%,102,17%,67,11%,27,5%,12,2%,4,1%,12,2%,15,3%,585
NORDESTE,23,CE,63,72%,7,8%,4,5%,4,5%,1,1%,4,5%,1,1%,4,5%,88
NORDESTE,21,MA,43,73%,4,7%,3,5%,3,5%,4,7%,1,2%,1,2%,0,-,59
NORDESTE,25,PB,186,44%,79,19%,61,15%,37,9%,15,4%,17,4%,7,2%,17,4%,419
NORDESTE,26,PE,20,47%,9,21%,5,12%,4,9%,1,2%,0,-,1,2%,3,7%,43
NORDESTE,22,PI,94,65%,15,10%,15,10%,13,9%,1,1%,2,1%,2,1%,2,1%,144
NORDESTE,24,RN,75,54%,17,12%,14,10%,9,6%,8,6%,7,5%,0,-,10,7%,140
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,883,55%,249,15%,183,11%,114,7%,47,3%,42,3%,28,2%,62,4%,1608
NORTE,12,AC,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
NORTE,13,AM,193,49%,76,19%,56,14%,33,8%,10,3%,7,2%,6,2%,10,3%,391
