,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2008 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Legumes e verduras cozidos,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,20,34%,5,9%,7,12%,8,14%,2,3%,2,3%,1,2%,13,22%,58
CENTRO-OESTE,52,GO,33,23%,16,11%,27,19%,15,10%,18,12%,7,5%,4,3%,25,17%,145
CENTRO-OESTE,50,MS,98,34%,46,16%,50,17%,31,11%,10,3%,17,6%,7,2%,27,9%,286
CENTRO-OESTE,51,MT,201,36%,80,14%,83,15%,59,11%,24,4%,23,4%,20,4%,71,13%,561
TOTAL REGIÃO CENTRO-OESTE,,,352,34%,147,14%,167,16%,113,11%,54,5%,49,5%,32,3%,136,13%,1050
NORDESTE,27,AL,35,27%,9,7%,25,19%,19,15%,6,5%,3,2%,4,3%,29,22%,130
NORDESTE,29,BA,90,15%,90,15%,80,14%,91,16%,52,9%,37,6%,25,4%,120,21%,585
NORDESTE,23,CE,29,33%,13,15%,20,23%,7,8%,4,5%,5,6%,2,2%,8,9%,88
NORDESTE,21,MA,26,44%,10,17%,5,8%,8,14%,0,-,3,5%,1,2%,6,10%,59
NORDESTE,25,PB,133,32%,45,11%,58,14%,45,11%,33,8%,22,5%,14,3%,69,16%,419
NORDESTE,26,PE,17,40%,7,16%,6,14%,3,7%,1,2%,3,7%,0,-,6,14%,43
NORDESTE,22,PI,63,44%,27,19%,25,17%,12,8%,6,4%,4,3%,1,1%,6,4%,144
NORDESTE,24,RN,33,24%,14,10%,13,9%,18,13%,9,6%,8,6%,15,11%,30,21%,140
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,426,26%,215,13%,232,14%,203,13%,111,7%,85,5%,62,4%,274,17%,1608
NORTE,12,AC,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
NORTE,13,AM,161,41%,53,14%,46,12%,36,9%,13,3%,9,2%,9,2%,64,16%,391
