,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2009 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,"FREQUÊNCIA DE CONSUMO - Bolachas/biscoitos doces ou recheados, doces, balas e chocolates",,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,182,33%,112,20%,65,12%,55,10%,33,6%,10,2%,14,3%,79,14%,550
CENTRO-OESTE,52,GO,374,32%,179,15%,159,14%,130,11%,94,8%,66,6%,51,4%,123,10%,1176
CENTRO-OESTE,50,MS,140,33%,79,19%,58,14%,33,8%,21,5%,13,3%,16,4%,61,14%,421
CENTRO-OESTE,51,MT,656,39%,338,20%,199,12%,143,8%,70,4%,31,2%,29,2%,227,13%,1693
TOTAL REGIÃO CENTRO-OESTE,,,1352,35%,708,18%,481,13%,361,9%,218,6%,120,3%,110,3%,490,13%,3840
NORDESTE,27,AL,43,28%,21,13%,12,8%,11,7%,8,5%,8,5%,5,3%,48,31%,156
NORDESTE,29,BA,683,40%,280,16%,212,12%,135,8%,62,4%,38,2%,41,2%,260,15%,1711
NORDESTE,23,CE,103,45%,25,11%,26,11%,19,8%,9,4%,18,8%,2,1%,25,11%,227
NORDESTE,21,MA,146,52%,52,19%,31,11%,21,8%,10,4%,4,1%,5,2%,10,4%,279
NORDESTE,25,PB,116,21%,177,32%,107,19%,41,7%,17,3%,18,3%,12,2%,65,12%,553
NORDESTE,26,PE,23,37%,9,14%,5,8%,8,13%,2,3%,1,2%,2,3%,13,21%,63
NORDESTE,22,PI,91,42%,26,12%,27,12%,22,10%,7,3%,10,5%,4,2%,31,14%,218
NORDESTE,24,RN,55,38%,18,12%,21,14%,9,6%,7,5%,10,7%,9,6%,16,11%,145
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,1260,38%,608,18%,441,13%,266,8%,122,4%,107,3%,80,2%,468,14%,3352
NORTE,12,AC,2,33%,0,-,2,33%,0,-,0,-,0,-,1,17%,1,17%,6
NORTE,13,AM,96,30%,63,20%,68,22%,37,12%,12,4%,7,2%,9,3%,23,7%,315
