,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2009 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Bolachas/biscoitos salgados ou salgadinhos de pacote,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,161,29%,87,16%,66,12%,68,12%,33,6%,23,4%,14,3%,98,18%,550
CENTRO-OESTE,52,GO,325,28%,148,13%,160,14%,169,14%,78,7%,70,6%,49,4%,177,15%,1176
CENTRO-OESTE,50,MS,117,28%,52,12%,65,15%,54,13%,23,5%,19,5%,13,3%,78,19%,421
CENTRO-OESTE,51,MT,552,33%,270,16%,211,12%,165,10%,73,4%,51,3%,27,2%,344,20%,1693
TOTAL REGIÃO CENTRO-OESTE,,,1155,30%,557,15%,502,13%,456,12%,207,5%,163,4%,103,3%,697,18%,3840
NORDESTE,27,AL,14,9%,14,9%,19,12%,12,8%,13,8%,3,2%,2,1%,79,51%,156
NORDESTE,29,BA,342,20%,201,12%,217,13%,183,11%,128,7%,70,4%,98,6%,472,28%,1711
NORDESTE,23,CE,71,31%,19,8%,34,15%,22,10%,15,7%,18,8%,5,2%,43,19%,227
NORDESTE,21,MA,81,29%,49,18%,38,14%,43,15%,17,6%,8,3%,16,6%,27,10%,279
NORDESTE,25,PB,60,11%,37,7%,60,11%,67,12%,44,8%,55,10%,7,1%,223,40%,553
NORDESTE,26,PE,7,11%,5,8%,7,11%,9,14%,4,6%,2,3%,0,-,29,46%,63
NORDESTE,22,PI,58,27%,25,11%,34,16%,24,11%,12,6%,12,6%,8,4%,45,21%,218
NORDESTE,24,RN,17,12%,10,7%,10,7%,15,10%,8,6%,12,8%,9,6%,64,44%,145
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,650,19%,360,11%,419,13%,375,11%,241,7%,180,5%,145,4%,982,29%,3352
NORTE,12,AC,0,-,1,17%,1,17%,2,33%,1,17%,0,-,0,-,1,17%,6
NORTE,13,AM,80,25%,51,16%,57,18%,44,14%,17,5%,23,7%,11,3%,32,10%,315
