,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2009 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Refrigerante,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,213,39%,118,21%,76,14%,50,9%,24,4%,15,3%,9,2%,45,8%,550
CENTRO-OESTE,52,GO,317,27%,201,17%,187,16%,120,10%,99,8%,62,5%,60,5%,130,11%,1176
CENTRO-OESTE,50,MS,110,26%,77,18%,67,16%,50,12%,23,5%,13,3%,11,3%,70,17%,421
CENTRO-OESTE,51,MT,427,25%,375,22%,229,14%,159,9%,88,5%,63,4%,59,3%,293,17%,1693
TOTAL REGIÃO CENTRO-OESTE,,,1067,28%,771,20%,559,15%,379,10%,234,6%,153,4%,139,4%,538,14%,3840
NORDESTE,27,AL,70,45%,29,19%,14,9%,10,6%,6,4%,3,2%,4,3%,20,13%,156
NORDESTE,29,BA,696,41%,430,25%,251,15%,119,7%,48,3%,34,2%,33,2%,100,6%,1711
NORDESTE,23,CE,139,61%,31,14%,22,10%,16,7%,5,2%,8,4%,2,1%,4,2%,227
NORDESTE,21,MA,166,59%,60,22%,30,11%,10,4%,3,1%,6,2%,2,1%,2,1%,279
NORDESTE,25,PB,155,28%,242,44%,81,15%,30,5%,12,2%,10,2%,5,1%,18,3%,553
NORDESTE,26,PE,33,52%,18,29%,4,6%,3,5%,1,2%,1,2%,0,-,3,5%,63
NORDESTE,22,PI,108,50%,38,17%,23,11%,12,6%,10,5%,6,3%,6,3%,15,7%,218
NORDESTE,24,RN,68,47%,47,32%,19,13%,3,2%,3,2%,3,2%,1,1%,1,1%,145
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,1435,43%,895,27%,444,13%,203,6%,88,3%,71,2%,53,2%,163,5%,3352
NORTE,12,AC,3,50%,0,-,2,33%,0,-,0,-,0,-,0,-,1,17%,6
NORTE,13,AM,70,22%,63,20%,57,18%,48,15%,21,7%,17,5%,12,4%,27,9%,315
