,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2010 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Bolachas/biscoitos salgados ou salgadinhos de pacote,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,89,29%,61,20%,39,13%,23,7%,14,5%,17,6%,7,2%,57,19%,307
CENTRO-OESTE,52,GO,128,21%,78,13%,78,13%,92,15%,75,12%,62,10%,30,5%,68,11%,611
CENTRO-OESTE,50,MS,217,29%,144,19%,108,14%,69,9%,34,5%,25,3%,22,3%,128,17%,747
CENTRO-OESTE,51,MT,626,32%,294,15%,250,13%,211,11%,91,5%,60,3%,49,2%,386,20%,1967
TOTAL REGIÃO CENTRO-OESTE,,,1060,29%,577,16%,475,13%,395,11%,214,6%,164,5%,108,3%,639,18%,3632
NORDESTE,27,AL,112,18%,90,14%,98,15%,96,15%,30,5%,43,7%,29,5%,141,22%,639
NORDESTE,29,BA,412,25%,191,12%,235,14%,214,13%,100,6%,83,5%,60,4%,350,21%,1645
NORDESTE,23,CE,109,24%,52,11%,59,13%,43,9%,25,5%,24,5%,17,4%,128,28%,457
NORDESTE,21,MA,15,34%,5,11%,7,16%,7,16%,3,7%,2,5%,0,-,5,11%,44
NORDESTE,25,PB,25,8%,28,9%,28,9%,43,14%,26,9%,35,12%,12,4%,105,35%,302
NORDESTE,26,PE,11,14%,8,11%,8,11%,10,13%,6,8%,4,5%,2,3%,27,36%,76
NORDESTE,22,PI,115,34%,49,15%,52,15%,32,10%,16,5%,14,4%,6,2%,52,15%,336
NORDESTE,24,RN,2,8%,1,4%,1,4%,2,8%,3,13%,2,8%,0,-,13,54%,24
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,801,23%,424,12%,488,14%,447,13%,209,6%,207,6%,126,4%,821,23%,3523
NORTE,12,AC,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
NORTE,13,AM,64,20%,53,16%,55,17%,81,25%,38,12%,13,4%,7,2%,13,4%,324
