,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2010 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Frutas frescas ou salada de frutas,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,21,7%,19,6%,27,9%,28,9%,17,6%,15,5%,6,2%,174,57%,307
CENTRO-OESTE,52,GO,39,6%,43,7%,70,11%,69,11%,71,12%,51,8%,46,8%,222,36%,611
CENTRO-OESTE,50,MS,73,10%,72,10%,103,14%,108,14%,49,7%,42,6%,35,5%,265,35%,747
CENTRO-OESTE,51,MT,233,12%,225,11%,221,11%,243,12%,116,6%,82,4%,86,4%,761,39%,1967
TOTAL REGIÃO CENTRO-OESTE,,,366,10%,359,10%,421,12%,448,12%,253,7%,190,5%,173,5%,1422,39%,3632
NORDESTE,27,AL,63,10%,67,10%,94,15%,83,13%,57,9%,39,6%,32,5%,204,32%,639
NORDESTE,29,BA,91,6%,92,6%,165,10%,195,12%,132,8%,119,7%,102,6%,749,46%,1645
NORDESTE,23,CE,41,9%,55,12%,57,12%,53,12%,33,7%,34,7%,22,5%,162,35%,457
NORDESTE,21,MA,6,14%,7,16%,10,23%,5,11%,3,7%,1,2%,0,-,12,27%,44
NORDESTE,25,PB,31,10%,21,7%,50,17%,70,23%,26,9%,21,7%,5,2%,78,26%,302
NORDESTE,26,PE,14,18%,7,9%,11,14%,7,9%,6,8%,1,1%,5,7%,25,33%,76
NORDESTE,22,PI,35,10%,21,6%,44,13%,35,10%,31,9%,21,6%,15,4%,134,40%,336
NORDESTE,24,RN,2,8%,1,4%,1,4%,1,4%,2,8%,4,17%,4,17%,9,38%,24
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,283,8%,271,8%,432,12%,449,13%,290,8%,240,7%,185,5%,1373,39%,3523
NORTE,12,AC,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
NORTE,13,AM,31,10%,90,28%,61,19%,65,20%,17,5%,16,5%,10,3%,34,10%,324
