,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2010 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Leite ou iogurte,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,27,9%,23,7%,22,7%,27,9%,16,5%,11,4%,11,4%,170,55%,307
CENTRO-OESTE,52,GO,84,14%,37,6%,76,12%,55,9%,38,6%,26,4%,31,5%,264,43%,611
CENTRO-OESTE,50,MS,148,20%,73,10%,83,11%,72,10%,44,6%,31,4%,22,3%,274,37%,747
CENTRO-OESTE,51,MT,363,18%,176,9%,177,9%,148,8%,80,4%,56,3%,51,3%,916,47%,1967
TOTAL REGIÃO CENTRO-OESTE,,,622,17%,309,9%,358,10%,302,8%,178,5%,124,3%,115,3%,1624,45%,3632
NORDESTE,27,AL,117,18%,60,9%,80,13%,55,9%,24,4%,16,3%,17,3%,270,42%,639
NORDESTE,29,BA,242,15%,132,8%,174,11%,165,10%,91,6%,92,6%,68,4%,681,41%,1645
NORDESTE,23,CE,101,22%,49,11%,39,9%,34,7%,14,3%,21,5%,14,3%,185,40%,457
NORDESTE,21,MA,8,18%,2,5%,0,-,5,11%,3,7%,5,11%,1,2%,20,45%,44
NORDESTE,25,PB,50,17%,62,21%,63,21%,42,14%,9,3%,5,2%,2,1%,69,23%,302
NORDESTE,26,PE,20,26%,8,11%,6,8%,2,3%,3,4%,3,4%,5,7%,29,38%,76
NORDESTE,22,PI,52,15%,22,7%,15,4%,27,8%,7,2%,12,4%,7,2%,194,58%,336
NORDESTE,24,RN,2,8%,1,4%,3,13%,3,13%,3,13%,2,8%,0,-,10,42%,24
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
TOTAL REGIÃO NORDESTE,,,592,17%,336,10%,380,11%,333,9%,154,4%,156,4%,114,3%,1458,41%,3523
NORTE,12,AC,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
NORTE,13,AM,34,10%,63,19%,76,23%,47,15%,23,7%,13,4%,6,2%,62,19%,324
