,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2011 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,"FREQUÊNCIA DE CONSUMO - Batata frita, batata de pacote e salgados fritos",,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,578,48%,264,22%,172,14%,58,5%,29,2%,18,2%,9,1%,68,6%,1196
CENTRO-OESTE,52,GO,335,37%,178,20%,131,15%,93,10%,43,5%,50,6%,23,3%,45,5%,898
CENTRO-OESTE,50,MS,894,43%,547,26%,243,12%,140,7%,67,3%,39,2%,38,2%,107,5%,2075
CENTRO-OESTE,51,MT,1371,43%,723,23%,403,13%,235,7%,114,4%,71,2%,60,2%,191,6%,3168
TOTAL REGIÃO CENTRO-OESTE,,,3178,43%,1712,23%,949,13%,526,7%,253,3%,178,2%,130,2%,411,6%,7337
NORDESTE,27,AL,462,53%,159,18%,106,12%,44,5%,29,3%,14,2%,13,1%,53,6%,880
NORDESTE,29,BA,1372,57%,568,23%,219,9%,114,5%,51,2%,16,1%,22,1%,61,3%,2423
NORDESTE,23,CE,592,60%,184,19%,106,11%,41,4%,13,1%,12,1%,10,1%,27,3%,985
NORDESTE,21,MA,46,64%,13,18%,5,7%,1,1%,0,-,2,3%,2,3%,3,4%,72
NORDESTE,25,PB,158,28%,245,44%,72,13%,43,8%,13,2%,8,1%,3,1%,17,3%,559
NORDESTE,26,PE,174,47%,96,26%,50,14%,16,4%,8,2%,10,3%,2,1%,12,3%,368
NORDESTE,22,PI,336,59%,128,22%,55,10%,26,5%,8,1%,3,1%,5,1%,9,2%,570
NORDESTE,24,RN,101,53%,49,26%,15,8%,13,7%,2,1%,2,1%,2,1%,6,3%,190
NORDESTE,28,SE,6,40%,6,40%,2,13%,0,-,0,-,0,-,0,-,1,7%,15
TOTAL REGIÃO NORDESTE,,,3247,54%,1448,24%,630,10%,298,5%,124,2%,67,1%,59,1%,189,3%,6062
NORTE,12,AC,11,85%,0,-,0,-,1,8%,0,-,0,-,0,-,1,8%,13
NORTE,13,AM,280,41%,139,20%,92,14%,75,11%,22,3%,19,3%,17,3%,35,5%,679
