,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2011 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Bolachas/biscoitos salgados ou salgadinhos de pacote,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,332,28%,163,14%,160,13%,140,12%,54,5%,42,4%,24,2%,281,23%,1196
CENTRO-OESTE,52,GO,284,32%,137,15%,113,13%,131,15%,77,9%,43,5%,14,2%,99,11%,898
CENTRO-OESTE,50,MS,642,31%,391,19%,300,14%,204,10%,106,5%,87,4%,64,3%,281,14%,2075
CENTRO-OESTE,51,MT,957,30%,532,17%,455,14%,356,11%,165,5%,106,3%,93,3%,504,16%,3168
TOTAL REGIÃO CENTRO-OESTE,,,2215,30%,1223,17%,1028,14%,831,11%,402,5%,278,4%,195,3%,1165,16%,7337
NORDESTE,27,AL,145,16%,90,10%,112,13%,112,13%,72,8%,49,6%,35,4%,265,30%,880
NORDESTE,29,BA,678,28%,395,16%,366,15%,257,11%,133,5%,82,3%,74,3%,438,18%,2423
NORDESTE,23,CE,252,26%,114,12%,155,16%,105,11%,54,5%,54,5%,44,4%,207,21%,985
NORDESTE,21,MA,11,15%,5,7%,12,17%,15,21%,4,6%,5,7%,3,4%,17,24%,72
NORDESTE,25,PB,69,12%,39,7%,78,14%,147,26%,65,12%,39,7%,13,2%,109,19%,559
NORDESTE,26,PE,67,18%,35,10%,37,10%,30,8%,23,6%,11,3%,18,5%,147,40%,368
NORDESTE,22,PI,160,28%,124,22%,82,14%,48,8%,42,7%,39,7%,27,5%,48,8%,570
NORDESTE,24,RN,42,22%,24,13%,30,16%,27,14%,8,4%,9,5%,7,4%,43,23%,190
NORDESTE,28,SE,0,-,2,13%,6,40%,2,13%,0,-,0,-,0,-,5,33%,15
TOTAL REGIÃO NORDESTE,,,1424,23%,828,14%,878,14%,743,12%,401,7%,288,5%,221,4%,1279,21%,6062
NORTE,12,AC,4,31%,4,31%,0,-,1,8%,0,-,0,-,0,-,4,31%,13
