,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2011 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Legumes e verduras cozidos,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,276,23%,154,13%,196,16%,162,14%,70,6%,41,3%,27,2%,270,23%,1196
CENTRO-OESTE,52,GO,127,14%,83,9%,112,12%,112,12%,80,9%,75,8%,56,6%,253,28%,898
CENTRO-OESTE,50,MS,627,30%,346,17%,349,17%,250,12%,112,5%,91,4%,77,4%,223,11%,2075
CENTRO-OESTE,51,MT,959,30%,426,13%,466,15%,399,13%,183,6%,139,4%,125,4%,472,15%,3169
TOTAL REGIÃO CENTRO-OESTE,,,1989,27%,1009,14%,1123,15%,923,13%,445,6%,346,5%,285,4%,1218,17%,7338
NORDESTE,27,AL,287,33%,95,11%,103,12%,83,9%,45,5%,29,3%,21,2%,217,25%,880
NORDESTE,29,BA,551,23%,267,11%,333,14%,280,12%,136,6%,106,4%,120,5%,630,26%,2423
NORDESTE,23,CE,491,50%,153,16%,124,13%,74,8%,30,3%,16,2%,23,2%,74,8%,985
NORDESTE,21,MA,15,21%,17,24%,10,14%,9,13%,4,6%,3,4%,5,7%,9,13%,72
NORDESTE,25,PB,120,21%,69,12%,88,16%,73,13%,136,24%,14,3%,9,2%,50,9%,559
NORDESTE,26,PE,115,31%,59,16%,64,17%,40,11%,23,6%,13,4%,8,2%,46,13%,368
NORDESTE,22,PI,227,40%,131,23%,88,15%,27,5%,30,5%,17,3%,14,2%,36,6%,570
NORDESTE,24,RN,76,40%,20,10%,27,14%,21,11%,12,6%,10,5%,4,2%,21,11%,191
NORDESTE,28,SE,2,13%,2,13%,3,20%,2,13%,0,-,1,7%,0,-,5,33%,15
TOTAL REGIÃO NORDESTE,,,1884,31%,813,13%,840,14%,609,10%,416,7%,209,3%,204,3%,1088,18%,6063
NORTE,12,AC,4,31%,4,31%,2,15%,1,8%,0,-,0,-,0,-,2,15%,13
NORTE,13,AM,205,30%,111,16%,120,18%,117,17%,19,3%,31,5%,17,3%,59,9%,679
