,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2011 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Refrigerante,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,468,39%,218,18%,160,13%,109,9%,49,4%,38,3%,22,2%,132,11%,1196
CENTRO-OESTE,52,GO,257,29%,139,15%,118,13%,91,10%,82,9%,64,7%,42,5%,105,12%,898
CENTRO-OESTE,50,MS,645,31%,396,19%,300,14%,203,10%,113,5%,88,4%,66,3%,264,13%,2075
CENTRO-OESTE,51,MT,857,27%,687,22%,446,14%,295,9%,174,5%,121,4%,101,3%,487,15%,3168
TOTAL REGIÃO CENTRO-OESTE,,,2227,30%,1440,20%,1024,14%,698,10%,418,6%,311,4%,231,3%,988,13%,7337
NORDESTE,27,AL,370,42%,195,22%,110,13%,58,7%,24,3%,14,2%,18,2%,91,10%,880
NORDESTE,29,BA,1034,43%,650,27%,287,12%,147,6%,62,3%,47,2%,25,1%,171,7%,2423
NORDESTE,23,CE,427,43%,222,23%,114,12%,63,6%,38,4%,35,4%,20,2%,66,7%,985
NORDESTE,21,MA,31,43%,16,22%,11,15%,3,4%,2,3%,0,-,2,3%,7,10%,72
NORDESTE,25,PB,94,17%,297,53%,66,12%,37,7%,22,4%,5,1%,8,1%,30,5%,559
NORDESTE,26,PE,134,36%,89,24%,55,15%,38,10%,10,3%,12,3%,6,2%,24,7%,368
NORDESTE,22,PI,197,35%,174,31%,118,21%,40,7%,23,4%,1,0%,6,1%,11,2%,570
NORDESTE,24,RN,88,46%,46,24%,22,12%,12,6%,6,3%,6,3%,2,1%,8,4%,190
NORDESTE,28,SE,5,33%,6,40%,2,13%,1,7%,0,-,0,-,0,-,1,7%,15
TOTAL REGIÃO NORDESTE,,,2380,39%,1695,28%,785,13%,399,7%,187,3%,120,2%,87,1%,409,7%,6062
NORTE,12,AC,9,69%,2,15%,0,-,1,8%,1,8%,0,-,0,-,0,-,13
NORTE,13,AM,177,26%,111,16%,101,15%,114,17%,37,5%,37,5%,36,5%,66,10%,679
