,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2011 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Salada crua,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,160,13%,121,10%,166,14%,177,15%,78,7%,58,5%,32,3%,404,34%,1196
CENTRO-OESTE,52,GO,59,7%,71,8%,111,12%,113,13%,76,8%,69,8%,63,7%,336,37%,898
CENTRO-OESTE,50,MS,174,8%,214,10%,245,12%,285,14%,175,8%,152,7%,107,5%,722,35%,2074
CENTRO-OESTE,51,MT,377,12%,294,9%,409,13%,448,14%,218,7%,168,5%,170,5%,1086,34%,3170
TOTAL REGIÃO CENTRO-OESTE,,,770,10%,700,10%,931,13%,1023,14%,547,7%,447,6%,372,5%,2548,35%,7338
NORDESTE,27,AL,243,28%,128,15%,134,15%,113,13%,42,5%,17,2%,22,3%,181,21%,880
NORDESTE,29,BA,317,13%,229,9%,364,15%,366,15%,167,7%,102,4%,135,6%,743,31%,2423
NORDESTE,23,CE,444,45%,151,15%,133,14%,90,9%,22,2%,27,3%,25,3%,93,9%,985
NORDESTE,21,MA,21,29%,13,18%,11,15%,13,18%,2,3%,1,1%,2,3%,9,13%,72
NORDESTE,25,PB,94,17%,58,10%,65,12%,109,19%,126,23%,31,6%,10,2%,66,12%,559
NORDESTE,26,PE,69,19%,35,10%,41,11%,67,18%,22,6%,13,4%,14,4%,107,29%,368
NORDESTE,22,PI,158,28%,104,18%,98,17%,73,13%,18,3%,22,4%,31,5%,67,12%,571
NORDESTE,24,RN,70,37%,17,9%,31,16%,24,13%,6,3%,9,5%,3,2%,31,16%,191
NORDESTE,28,SE,3,19%,1,6%,4,25%,0,-,1,6%,1,6%,1,6%,5,31%,16
TOTAL REGIÃO NORDESTE,,,1419,23%,736,12%,881,15%,855,14%,406,7%,223,4%,243,4%,1302,21%,6065
NORTE,12,AC,6,46%,1,8%,1,8%,3,23%,0,-,0,-,0,-,2,15%,13
NORTE,13,AM,223,33%,130,19%,157,23%,97,14%,18,3%,16,2%,11,2%,27,4%,679
