,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2012 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Hambúrguer e embutidos,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,806,46%,470,27%,217,12%,102,6%,42,2%,27,2%,26,1%,67,4%,1757
CENTRO-OESTE,52,GO,819,51%,327,20%,172,11%,89,6%,88,6%,46,3%,22,1%,34,2%,1597
CENTRO-OESTE,50,MS,1075,42%,581,23%,335,13%,231,9%,103,4%,86,3%,45,2%,105,4%,2561
CENTRO-OESTE,51,MT,1698,52%,700,22%,364,11%,171,5%,94,3%,47,1%,39,1%,141,4%,3254
TOTAL REGIÃO CENTRO-OESTE,,,4398,48%,2078,23%,1088,12%,593,6%,327,4%,206,2%,132,1%,347,4%,9169
NORDESTE,27,AL,879,44%,331,17%,332,17%,195,10%,85,4%,60,3%,25,1%,90,5%,1997
NORDESTE,29,BA,2019,57%,706,20%,425,12%,164,5%,67,2%,44,1%,22,1%,100,3%,3547
NORDESTE,23,CE,1822,58%,524,17%,399,13%,186,6%,75,2%,47,1%,24,1%,77,2%,3154
NORDESTE,21,MA,643,57%,195,17%,149,13%,59,5%,23,2%,15,1%,8,1%,32,3%,1124
NORDESTE,25,PB,347,38%,129,14%,96,11%,255,28%,24,3%,17,2%,6,1%,36,4%,910
NORDESTE,26,PE,328,45%,133,18%,141,19%,62,8%,17,2%,10,1%,13,2%,27,4%,731
NORDESTE,22,PI,446,62%,108,15%,82,11%,39,5%,20,3%,9,1%,11,2%,8,1%,723
NORDESTE,24,RN,83,37%,46,20%,42,19%,25,11%,7,3%,1,0%,5,2%,17,8%,226
NORDESTE,28,SE,0,-,0,-,1,100%,0,-,0,-,0,-,0,-,0,-,1
TOTAL REGIÃO NORDESTE,,,6567,53%,2172,17%,1667,13%,985,8%,318,3%,203,2%,114,1%,387,3%,12413
NORTE,12,AC,0,-,0,-,1,33%,1,33%,1,33%,0,-,0,-,0,-,3
NORTE,13,AM,159,50%,62,19%,49,15%,17,5%,15,5%,6,2%,2,1%,11,3%,321
