,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2013 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,"FREQUÊNCIA DE CONSUMO - Batata frita, batata de pacote e salgados fritos",,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,528,49%,235,22%,138,13%,62,6%,30,3%,20,2%,10,1%,59,5%,1082
CENTRO-OESTE,52,GO,633,40%,352,22%,209,13%,125,8%,117,7%,60,4%,30,2%,76,5%,1602
CENTRO-OESTE,50,MS,602,41%,326,22%,198,13%,111,8%,67,5%,49,3%,30,2%,92,6%,1475
CENTRO-OESTE,51,MT,1733,48%,724,20%,411,11%,242,7%,129,4%,128,4%,69,2%,206,6%,3642
TOTAL REGIÃO CENTRO-OESTE,,,3496,45%,1637,21%,956,12%,540,7%,343,4%,257,3%,139,2%,433,6%,7801
NORDESTE,27,AL,934,57%,297,18%,188,12%,75,5%,45,3%,17,1%,16,1%,54,3%,1626
NORDESTE,29,BA,2130,58%,765,21%,366,10%,150,4%,55,1%,58,2%,41,1%,137,4%,3702
NORDESTE,23,CE,1036,54%,425,22%,193,10%,107,6%,47,2%,23,1%,13,1%,59,3%,1903
NORDESTE,21,MA,377,62%,91,15%,84,14%,27,4%,11,2%,3,0%,6,1%,12,2%,611
NORDESTE,25,PB,419,40%,225,22%,130,13%,185,18%,22,2%,14,1%,8,1%,34,3%,1037
NORDESTE,26,PE,185,64%,55,19%,23,8%,9,3%,6,2%,4,1%,4,1%,5,2%,291
NORDESTE,22,PI,561,57%,222,23%,101,10%,39,4%,18,2%,11,1%,5,1%,25,3%,982
NORDESTE,24,RN,258,53%,86,18%,64,13%,25,5%,18,4%,7,1%,3,1%,24,5%,485
NORDESTE,28,SE,4,27%,8,53%,1,7%,2,13%,0,-,0,-,0,-,0,-,15
TOTAL REGIÃO NORDESTE,,,5904,55%,2174,20%,1150,11%,619,6%,222,2%,137,1%,96,1%,350,3%,10652
NORTE,12,AC,11,52%,5,24%,4,19%,0,-,0,-,0,-,1,5%,0,-,21
