,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2013 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Bolachas/biscoitos salgados ou salgadinhos de pacote,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,316,29%,151,14%,180,17%,129,12%,69,6%,16,1%,28,3%,193,18%,1082
CENTRO-OESTE,52,GO,459,29%,244,15%,227,14%,209,13%,132,8%,60,4%,51,3%,219,14%,1601
CENTRO-OESTE,50,MS,442,30%,256,17%,259,18%,159,11%,82,6%,53,4%,47,3%,177,12%,1475
CENTRO-OESTE,51,MT,1136,31%,606,17%,574,16%,359,10%,201,6%,140,4%,102,3%,522,14%,3640
TOTAL REGIÃO CENTRO-OESTE,,,2353,30%,1257,16%,1240,16%,856,11%,484,6%,269,3%,228,3%,1111,14%,7798
NORDESTE,27,AL,377,23%,181,11%,254,16%,213,13%,88,5%,50,3%,44,3%,416,26%,1623
NORDESTE,29,BA,1169,32%,556,15%,471,13%,363,10%,139,4%,133,4%,107,3%,763,21%,3701
NORDESTE,23,CE,415,22%,255,13%,240,13%,232,12%,106,6%,87,5%,74,4%,491,26%,1900
NORDESTE,21,MA,146,24%,97,16%,140,23%,67,11%,38,6%,18,3%,18,3%,87,14%,611
NORDESTE,25,PB,186,18%,94,9%,116,11%,309,30%,48,5%,39,4%,31,3%,212,20%,1035
NORDESTE,26,PE,53,18%,38,13%,43,15%,35,12%,17,6%,6,2%,10,3%,88,30%,290
NORDESTE,22,PI,242,25%,158,16%,190,19%,116,12%,46,5%,42,4%,47,5%,141,14%,982
NORDESTE,24,RN,89,18%,46,9%,49,10%,57,12%,28,6%,13,3%,15,3%,188,39%,485
NORDESTE,28,SE,1,7%,1,7%,3,20%,4,27%,2,13%,0,-,0,-,4,27%,15
TOTAL REGIÃO NORDESTE,,,2678,25%,1426,13%,1506,14%,1396,13%,512,5%,388,4%,346,3%,2390,22%,10642
NORTE,12,AC,6,29%,1,5%,4,19%,2,10%,2,10%,4,19%,0,-,2,10%,21
