,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2013 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Feijão,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,98,9%,50,5%,64,6%,70,6%,40,4%,47,4%,38,4%,675,62%,1082
CENTRO-OESTE,52,GO,111,7%,59,4%,91,6%,80,5%,71,4%,69,4%,77,5%,1044,65%,1602
CENTRO-OESTE,50,MS,134,9%,67,5%,68,5%,75,5%,72,5%,73,5%,64,4%,922,63%,1475
CENTRO-OESTE,51,MT,322,9%,151,4%,135,4%,154,4%,109,3%,133,4%,123,3%,2520,69%,3647
TOTAL REGIÃO CENTRO-OESTE,,,665,9%,327,4%,358,5%,379,5%,292,4%,322,4%,302,4%,5161,66%,7806
NORDESTE,27,AL,31,2%,33,2%,46,3%,71,4%,55,3%,68,4%,41,3%,1282,79%,1627
NORDESTE,29,BA,227,6%,142,4%,162,4%,156,4%,124,3%,120,3%,108,3%,2664,72%,3703
NORDESTE,23,CE,109,6%,83,4%,93,5%,103,5%,73,4%,75,4%,63,3%,1304,69%,1903
NORDESTE,21,MA,39,6%,37,6%,76,12%,87,14%,31,5%,33,5%,32,5%,278,45%,613
NORDESTE,25,PB,32,3%,28,3%,31,3%,35,3%,31,3%,13,1%,21,2%,846,82%,1037
NORDESTE,26,PE,12,4%,8,3%,7,2%,16,5%,11,4%,6,2%,5,2%,226,78%,291
NORDESTE,22,PI,28,3%,20,2%,38,4%,34,3%,29,3%,32,3%,61,6%,740,75%,982
NORDESTE,24,RN,13,3%,16,3%,30,6%,35,7%,9,2%,15,3%,17,4%,350,72%,485
NORDESTE,28,SE,0,-,0,-,0,-,0,-,0,-,2,13%,1,7%,12,80%,15
TOTAL REGIÃO NORDESTE,,,491,5%,367,3%,483,5%,537,5%,363,3%,364,3%,349,3%,7702,72%,10656
NORTE,12,AC,6,29%,3,14%,3,14%,1,5%,1,5%,0,-,0,-,7,33%,21
NORTE,13,AM,77,16%,105,22%,85,18%,65,14%,32,7%,11,2%,17,4%,84,18%,476
