,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2013 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Legumes e verduras cozidos,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,291,27%,137,13%,161,15%,137,13%,69,6%,45,4%,33,3%,209,19%,1082
CENTRO-OESTE,52,GO,215,13%,147,9%,233,15%,222,14%,169,11%,123,8%,106,7%,387,24%,1602
CENTRO-OESTE,50,MS,451,31%,211,14%,236,16%,192,13%,75,5%,81,5%,39,3%,190,13%,1475
CENTRO-OESTE,51,MT,1048,29%,543,15%,540,15%,457,13%,166,5%,134,4%,136,4%,630,17%,3654
TOTAL REGIÃO CENTRO-OESTE,,,2005,26%,1038,13%,1170,15%,1008,13%,479,6%,383,5%,314,4%,1416,18%,7813
NORDESTE,27,AL,416,26%,209,13%,243,15%,186,11%,91,6%,49,3%,33,2%,400,25%,1627
NORDESTE,29,BA,787,21%,459,12%,533,14%,392,11%,213,6%,178,5%,160,4%,981,26%,3703
NORDESTE,23,CE,851,45%,309,16%,289,15%,179,9%,59,3%,42,2%,24,1%,151,8%,1904
NORDESTE,21,MA,167,27%,121,20%,149,24%,67,11%,23,4%,19,3%,14,2%,54,9%,614
NORDESTE,25,PB,267,26%,105,10%,106,10%,84,8%,245,24%,18,2%,28,3%,184,18%,1037
NORDESTE,26,PE,108,37%,43,15%,53,18%,38,13%,13,4%,7,2%,5,2%,24,8%,291
NORDESTE,22,PI,390,40%,197,20%,174,18%,94,10%,32,3%,28,3%,14,1%,53,5%,982
NORDESTE,24,RN,183,38%,61,13%,67,14%,57,12%,22,5%,6,1%,9,2%,81,17%,486
NORDESTE,28,SE,3,20%,1,7%,5,33%,1,7%,1,7%,1,7%,1,7%,2,13%,15
TOTAL REGIÃO NORDESTE,,,3172,30%,1505,14%,1619,15%,1098,10%,699,7%,348,3%,288,3%,1930,18%,10659
NORTE,12,AC,4,19%,3,14%,3,14%,4,19%,0,-,2,10%,2,10%,3,14%,21
