,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2014 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: TODOS,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Bolachas/biscoitos salgados ou salgadinhos de pacote,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,292,28%,186,18%,159,15%,105,10%,76,7%,35,3%,29,3%,152,15%,1034
CENTRO-OESTE,52,GO,356,28%,149,12%,200,16%,194,15%,90,7%,42,3%,37,3%,184,15%,1252
CENTRO-OESTE,50,MS,245,30%,150,19%,117,14%,100,12%,35,4%,25,3%,36,4%,100,12%,808
CENTRO-OESTE,51,MT,721,34%,350,17%,294,14%,197,9%,92,4%,64,3%,52,2%,324,15%,2094
TOTAL REGIÃO CENTRO-OESTE,,,1614,31%,835,16%,770,15%,596,11%,293,6%,166,3%,154,3%,760,15%,5188
NORDESTE,27,AL,183,19%,94,10%,158,16%,141,15%,60,6%,31,3%,26,3%,273,28%,966
NORDESTE,29,BA,691,36%,242,12%,256,13%,190,10%,86,4%,48,2%,68,4%,358,18%,1939
NORDESTE,23,CE,183,19%,129,14%,138,14%,104,11%,62,6%,38,4%,24,3%,276,29%,954
NORDESTE,21,MA,69,25%,58,21%,55,20%,28,10%,9,3%,11,4%,6,2%,37,14%,273
NORDESTE,25,PB,164,20%,79,9%,67,8%,362,43%,47,6%,18,2%,18,2%,86,10%,841
NORDESTE,26,PE,66,14%,84,18%,73,15%,63,13%,29,6%,28,6%,16,3%,116,24%,475
NORDESTE,22,PI,145,28%,85,17%,87,17%,53,10%,28,5%,15,3%,25,5%,73,14%,511
NORDESTE,24,RN,161,18%,94,11%,118,13%,110,12%,45,5%,39,4%,35,4%,280,32%,882
NORDESTE,28,SE,1,20%,0,-,1,20%,2,40%,0,-,0,-,0,-,1,20%,5
TOTAL REGIÃO NORDESTE,,,1663,24%,865,13%,953,14%,1053,15%,366,5%,228,3%,218,3%,1500,22%,6846
NORTE,12,AC,20,29%,12,18%,11,16%,3,4%,9,13%,4,6%,1,1%,8,12%,68
