,,,,,,,,,,,,,,,,,,,
MS/SAS/DAB/Núcleo de Tecnologia da Informação - NTI,,,,,,,,,,,,,,,,,,,
"Relatório do Consumo Alimentar por período, fase do ciclo da vida (de 2008 a 2014).",,,,,,,,,,,,,,,,,,,
Abrangência: Região (TODOS) - Estado (TODOS),,,,,,,,,,,,,,,,,,,
Competência: Ano: 2014 - Mês: TODOS,,,,,,,,,,,,,,,,,,,
Faixa Etária: Gestantes (Adolescentes e Adultas),,,,,,,,,,,,,,,,,,,
Sexo: FEMININO,,,,,,,,,,,,,,,,,,,
Raça e Cor: TODOS,,,,,,,,,,,,,,,,,,,
Povo e Comunidade: TODOS,,,,,,,,,,,,,,,,,,,
Escolaridade: TODOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Abrangência Estadual,,,FREQUÊNCIA DE CONSUMO - Hambúrguer e embutidos,,,,,,,,,,,,,,,,Total de indivíduos
Região,Código UF,UF,,,,,,,,,,,,,,,,,avaliados
,,,Não consumiu nos últimos sete dias,,1 dia nos últimos sete dias,,2 dias nos últimos sete dias,,3 dias nos últimos sete dias,,4 dias nos últimos sete dias,,5 dias nos últimos sete dias,,6 dias nos últimos sete dias,,Todos os últimos sete dias,,
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,
CENTRO-OESTE,53,DF,462,44%,250,24%,152,15%,70,7%,44,4%,19,2%,13,1%,33,3%,1043
CENTRO-OESTE,52,GO,530,42%,290,23%,179,14%,131,10%,54,4%,21,2%,16,1%,32,3%,1253
CENTRO-OESTE,50,MS,363,45%,189,23%,109,13%,56,7%,35,4%,16,2%,12,1%,30,4%,810
CENTRO-OESTE,51,MT,999,48%,413,20%,325,16%,141,7%,64,3%,38,2%,29,1%,75,4%,2084
TOTAL REGIÃO CENTRO-OESTE,,,2354,45%,1142,22%,765,15%,398,8%,197,4%,94,2%,70,1%,170,3%,5190
NORDESTE,27,AL,447,46%,160,17%,166,17%,82,8%,28,3%,16,2%,6,1%,60,6%,965
NORDESTE,29,BA,1150,60%,433,22%,169,9%,73,4%,23,1%,16,1%,15,1%,47,2%,1926
NORDESTE,23,CE,527,55%,166,17%,118,12%,72,8%,26,3%,16,2%,3,0%,27,3%,955
NORDESTE,21,MA,149,54%,56,20%,34,12%,18,7%,3,1%,2,1%,4,1%,8,3%,274
NORDESTE,25,PB,252,30%,112,13%,88,10%,330,39%,18,2%,9,1%,7,1%,26,3%,842
NORDESTE,26,PE,177,37%,128,27%,76,16%,40,8%,11,2%,13,3%,8,2%,22,5%,475
NORDESTE,22,PI,319,63%,87,17%,57,11%,21,4%,8,2%,9,2%,1,0%,6,1%,508
NORDESTE,24,RN,361,41%,156,18%,145,16%,93,11%,29,3%,17,2%,17,2%,63,7%,881
NORDESTE,28,SE,0,-,0,-,0,-,1,20%,2,40%,2,40%,0,-,0,-,5
TOTAL REGIÃO NORDESTE,,,3382,50%,1298,19%,853,12%,730,11%,148,2%,100,1%,61,1%,259,4%,6831
NORTE,12,AC,63,91%,3,4%,2,3%,0,-,1,1%,0,-,0,-,0,-,69
NORTE,13,AM,94,41%,66,28%,29,13%,22,9%,4,2%,4,2%,2,1%,11,5%,232
