"","Regi√£o","C√≥gigo_UF","UF","0 dias nos √∫ltimos sete dias n","0 dias nos √∫ltimos sete dias %","1 dia nos ultimos sete dias n","1 dia nos ultimos sete dias %","2 dias nos √∫ltimos sete dias n","2 dias nos √∫ltimos sete dias %","3 dias nos √∫ltimos sete dias n","3 dias nos √∫ltimos sete dias %","4 dias nos √∫ltimos sete dias n","4 dias nos √∫ltimos sete dias %","5 dias nos √∫ltimos sete dias n","5 dias nos √∫ltimos sete dias %","6 dias nos √∫ltimos sete dias n","6 dias nos √∫ltimos sete dias %","Todos os √∫ltimos sete dias n","Todos os √∫ltimos sete dias %","Total de indiv√≠duos","ano","grupo"
"1","CENTRO-OESTE",53,"DF",29,"50%",11,"19%",11,"19%",2,"3%",1,"2%",0,NA,1,"2%",3,"5%",58,"2008","batata frita,batata de pacote,salgado frito"
"2","CENTRO-OESTE",52,"GO",57,"39%",28,"19%",22,"15%",19,"13%",5,"3%",4,"3%",2,"1%",8,"6%",145,"2008","batata frita,batata de pacote,salgado frito"
"3","CENTRO-OESTE",50,"MS",136,"48%",63,"22%",37,"13%",11,"4%",5,"2%",11,"4%",3,"1%",20,"7%",286,"2008","batata frita,batata de pacote,salgado frito"
"4","CENTRO-OESTE",51,"MT",252,"45%",119,"21%",69,"12%",42,"7%",22,"4%",12,"2%",11,"2%",34,"6%",561,"2008","batata frita,batata de pacote,salgado frito"
"5","TOTAL REGI√O CENTRO-OESTE",NA,"",474,"45%",221,"21%",139,"13%",74,"7%",33,"3%",27,"3%",17,"2%",65,"6%",1050,"2008","batata frita,batata de pacote,salgado frito"
"6","NORDESTE",27,"AL",82,"63%",15,"12%",8,"6%",5,"4%",4,"3%",3,"2%",3,"2%",10,"8%",130,"2008","batata frita,batata de pacote,salgado frito"
"7","NORDESTE",29,"BA",345,"59%",123,"21%",57,"10%",29,"5%",9,"2%",5,"1%",4,"1%",13,"2%",585,"2008","batata frita,batata de pacote,salgado frito"
"8","NORDESTE",23,"CE",74,"84%",7,"8%",1,"1%",1,"1%",0,NA,0,NA,0,NA,5,"6%",88,"2008","batata frita,batata de pacote,salgado frito"
"9","NORDESTE",21,"MA",44,"75%",6,"10%",8,"14%",0,NA,1,"2%",0,NA,0,NA,0,NA,59,"2008","batata frita,batata de pacote,salgado frito"
"10","NORDESTE",25,"PB",235,"56%",79,"19%",51,"12%",18,"4%",16,"4%",3,"1%",3,"1%",14,"3%",419,"2008","batata frita,batata de pacote,salgado frito"
"11","NORDESTE",26,"PE",19,"44%",12,"28%",2,"5%",5,"12%",1,"2%",0,NA,2,"5%",2,"5%",43,"2008","batata frita,batata de pacote,salgado frito"
"12","NORDESTE",22,"PI",93,"65%",23,"16%",13,"9%",6,"4%",4,"3%",0,NA,2,"1%",3,"2%",144,"2008","batata frita,batata de pacote,salgado frito"
"13","NORDESTE",24,"RN",83,"59%",25,"18%",12,"9%",7,"5%",1,"1%",5,"4%",1,"1%",6,"4%",140,"2008","batata frita,batata de pacote,salgado frito"
"14","NORDESTE",28,"SE",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","batata frita,batata de pacote,salgado frito"
"15","TOTAL REGI√O NORDESTE",NA,"",975,"61%",290,"18%",152,"9%",71,"4%",36,"2%",16,"1%",15,"1%",53,"3%",1608,"2008","batata frita,batata de pacote,salgado frito"
"16","NORTE",12,"AC",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","batata frita,batata de pacote,salgado frito"
"17","NORTE",13,"AM",175,"45%",79,"20%",52,"13%",24,"6%",11,"3%",14,"4%",8,"2%",28,"7%",391,"2008","batata frita,batata de pacote,salgado frito"
"18","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","batata frita,batata de pacote,salgado frito"
